City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
147,muncar,8,ID,1524712741,89,-8.43,114.34,83.58,3.18
148,iztapa,0,GT,1524712742,80,13.93,-90.71,85.92,5.86
149,las palmas,40,PE,1524711600,100,-6.53,-76.35,73.4,2.17
150,khatanga,20,RU,1524712742,100,71.98,102.47,14.19,4.63
151,lorengau,20,PG,1524712742,100,-2.02,147.27,84.57,3.4
152,lebu,75,ET,1524708000,67,8.96,38.73,60.8,3.51
153,bandarbeyla,92,SO,1524712743,100,9.49,50.81,83.58,6.87
154,comodoro rivadavia,0,AR,1524711600,36,-45.87,-67.48,64.4,6.93
155,dongsheng,92,CN,1524712743,85,29.72,112.52,68.01,4.52
156,friesach,8,AT,1524711000,87,46.95,14.41,51.8,3.36
157,santander,20,PH,1524708000,74,9.42,123.33,87.8,9.17
158,necochea,0,AR,1524712743,97,-38.55,-58.74,61.08,8.43
159,maragogi,92,BR,1524712743,95,-9.01,-35.22,76.11,6.08
160,severo-kurilsk,36,RU,1524712744,93,50.68,156.12,35.88,11.34
161,noumea,92,NC,1524711600,78,-22.28,166.46,77.0,3.36
162,buchanan,40,LR,1524709800,94,5.88,-10.05,78.8,5.97
163,cairns,20,AU,1524711600,37,-16.92,145.77,86.0,10.29
164,ucluelet,20,CA,1524712744,75,48.94,-125.55,58.65,1.72
165,namibe,0,AO,1524712744,100,-15.19,12.15,79.44,3.85
166,umm kaddadah,0,SD,1524712744,19,13.6,26.69,67.02,9.44
167,dalmatovo,24,RU,1524712745,86,56.26,62.94,35.97,6.64
168,malangwa,36,CD,1524712745,100,-2.84,17.57,71.52,2.28
169,pevek,12,RU,1524712745,100,69.7,170.27,17.97,1.95
170,shieli,0,KZ,1524712745,81,44.18,66.74,49.2,4.52
171,punta de bombon,80,PE,1524712745,100,-17.17,-71.79,67.74,4.63
172,sembakung,92,ID,1524712745,81,3.82,117.25,83.49,2.28
173,khandyga,44,RU,1524712746,55,62.65,135.58,34.35,5.97
174,dunedin,0,NZ,1524712618,59,-45.87,170.5,62.79,3.74
175,chokurdakh,8,RU,1524712746,100,70.62,147.9,14.19,7.43
176,thompson,75,CA,1524708000,65,55.74,-97.86,32.0,8.05
177,tuatapere,20,NZ,1524712746,77,-46.13,167.69,62.61,9.33
178,hualmay,64,PE,1524712746,83,-11.1,-77.61,65.76,3.18
179,ongandjera,0,NA,1524712746,52,-17.88,15.07,56.85,3.62
180,slobozia-mandra,12,RO,1524712747,78,43.92,24.7,60.54,2.73
181,nyurba,56,RU,1524712747,45,63.29,118.35,34.71,7.65
182,hami,0,CN,1524712747,28,42.84,93.51,81.6,9.78
183,pacific grove,40,US,1524711300,76,36.62,-121.92,55.4,8.05
184,shemonaikha,80,KZ,1524712747,83,50.63,81.92,44.79,8.55
185,caravelas,88,BR,1524712747,100,-17.73,-39.27,78.63,7.99
186,kharan,24,PK,1524712748,28,28.58,65.42,71.61,5.53
187,sinop,0,TR,1524707400,87,42.03,35.15,48.2,8.21
188,mattawa,90,CA,1524708000,100,46.32,-78.7,33.8,11.41
189,hobyo,44,SO,1524712751,100,5.35,48.53,76.47,7.09
190,mitchell,1,US,1524707580,57,43.71,-98.03,51.8,8.05
191,coihaique,40,CL,1524711900,93,-45.58,-72.07,42.8,2.24
192,umm lajj,0,SA,1524712751,98,25.02,37.27,66.21,6.98
193,te anau,24,NZ,1524712752,76,-45.41,167.72,58.92,7.76
194,vostok,0,RU,1524712752,47,46.45,135.83,63.87,5.86
195,malkapur,0,IN,1524712733,29,20.89,76.2,83.49,7.2
196,vao,80,EE,1524712752,97,59.1,26.19,38.49,5.41
197,coquimbo,90,CL,1524711600,93,-29.95,-71.34,53.6,5.82
198,geraldton,75,CA,1524708000,55,49.72,-86.95,39.2,8.05
199,maceio,40,BR,1524711600,88,-9.67,-35.74,75.2,1.12
200,loandjili,75,CG,1524708000,94,-4.77,11.87,75.2,4.7
201,omboue,92,GA,1524712753,100,-1.57,9.26,82.14,2.39
202,tasiilaq,88,GL,1524711000,92,65.61,-37.64,26.6,1.12
203,bahay,75,PH,1524708000,62,10.01,123.62,87.8,8.05
204,saint-augustin,0,FR,1524711600,93,44.83,-0.61,50.0,2.24
205,salalah,20,OM,1524707400,78,17.01,54.1,80.6,4.7
206,alofi,0,NU,1524708000,65,-19.06,-169.92,82.4,11.41
207,ulaangom,8,MN,1524712754,60,49.98,92.07,58.29,4.97
208,egvekinot,32,RU,1524712754,84,66.32,-179.17,20.67,3.74
209,lasa,0,CY,1524711600,49,34.92,32.53,71.6,6.93
210,koundara,80,GN,1524712754,37,12.49,-13.3,82.95,2.73
211,hasaki,40,JP,1524709800,63,35.73,140.83,68.0,5.82
212,jumla,0,NP,1524712755,67,29.28,82.18,41.28,2.17
213,guano,80,EC,1524712755,96,-1.61,-78.64,46.68,1.95
214,aswan,0,EG,1524712755,55,24.09,32.9,59.37,6.76
215,vaitape,20,PF,1524712755,100,-16.52,-151.75,82.59,8.66
216,minot,1,US,1524707760,38,48.23,-101.3,59.0,21.92
217,sobolevo,92,RU,1524712755,97,54.43,31.9,51.81,18.16
218,brownwood,40,US,1524710100,93,31.71,-98.99,50.0,4.7
219,belmonte,0,PT,1524712756,73,40.36,-7.35,55.23,5.86
220,hanyang,80,CN,1524712756,64,32.14,105.51,64.41,2.51
221,isangel,92,VU,1524712756,100,-19.55,169.27,77.82,15.48
222,sao joao da barra,48,BR,1524712756,97,-21.64,-41.05,78.09,7.99
223,emerald,0,AU,1524712756,35,-23.53,148.16,84.21,9.78
224,samarai,88,PG,1524712756,100,-10.62,150.67,81.87,12.91
225,coihueco,0,CL,1524711600,93,-36.63,-71.83,39.2,6.93
226,yatou,20,CM,1524708000,94,3.63,9.81,73.4,2.17
227,jacobina,88,BR,1524712757,90,-11.19,-40.51,69.54,9.44
228,clyde river,75,CA,1524710820,83,70.47,-68.59,-11.21,4.7
229,tautira,40,PF,1524711600,69,-17.73,-149.15,82.4,8.05
230,kawalu,12,ID,1524712757,82,-7.38,108.21,77.91,2.95
231,basco,1,US,1524711300,66,40.33,-91.2,53.6,3.36
232,oriximina,20,BR,1524712758,97,-1.77,-55.87,76.47,3.96
233,burnie,20,AU,1524712758,100,-41.05,145.91,58.65,20.29
234,kahului,40,US,1524707760,65,20.89,-156.47,80.6,23.04
235,shitanjing,32,CN,1524712758,19,39.23,106.34,69.45,3.62
236,port macquarie,40,AU,1524711600,57,-31.43,152.91,77.0,8.05
237,seymchan,48,RU,1524712758,86,62.93,152.39,28.05,13.8
238,pavino,90,RU,1524709800,86,55.02,82.61,39.2,13.42
239,castro,92,CL,1524712759,99,-42.48,-73.76,53.88,6.98
240,mehamn,75,NO,1524711000,96,71.03,27.85,33.8,57.49
241,ulaanbaatar,0,MN,1524711600,26,47.92,106.92,57.2,4.47
242,uglich,44,RU,1524712759,93,57.53,38.32,37.77,8.66
243,madang,32,PG,1524712760,88,-5.21,145.81,83.49,6.31
244,georgetown,40,GY,1524711600,94,6.8,-58.16,77.0,4.7
245,liwale,0,TZ,1524712760,75,-9.8,37.92,64.59,4.74
246,brandon,1,US,1524712500,70,43.59,-96.57,48.2,8.77
247,nagato,75,JP,1524708000,76,34.35,131.14,59.0,8.05
248,adrar,0,DZ,1524708000,19,27.87,-0.29,66.2,4.7
249,san jose,56,PH,1524712737,70,15.79,120.99,85.83,2.17
250,muros,20,ES,1524711600,93,42.77,-9.06,44.6,11.41
251,kangaatsiaq,64,GL,1524712761,100,68.31,-53.46,17.07,9.33
252,kaeo,56,NZ,1524712762,54,-35.1,173.78,67.11,7.09
253,ixtapa,5,MX,1524710940,69,20.71,-105.21,73.4,2.24
254,ballina,76,IE,1524712779,83,54.11,-9.15,44.97,17.83
255,ambatofinandrahana,12,MG,1524712763,93,-20.55,46.8,44.79,2.73
256,san patricio,0,PY,1524712763,86,-26.98,-56.83,70.62,2.17
257,verkhnevilyuysk,32,RU,1524712763,54,63.45,120.31,33.9,4.97
258,matiri,64,UG,1524712763,97,0.58,30.76,63.87,2.95
259,esperance,20,TT,1524708000,88,10.24,-61.45,77.0,6.53
260,lerwick,88,GB,1524711000,93,60.15,-1.15,42.8,12.75
261,fort nelson,20,CA,1524708000,27,58.81,-122.69,64.4,9.17
262,port blair,0,IN,1524712764,100,11.67,92.75,85.02,4.63
263,ravels,75,BE,1524711840,87,51.37,5.0,48.2,6.93
264,weiser,1,US,1524707580,39,44.25,-116.97,75.2,2.39
265,kassala,0,SD,1524712764,36,15.45,36.38,63.51,2.73
266,biak,92,ID,1524712764,100,-0.91,122.88,72.6,2.51
267,havelock,5,US,1524707880,82,34.88,-76.9,64.4,10.29
268,dolores,0,UY,1524712765,94,-33.53,-58.22,65.58,6.76
269,la macarena,92,CO,1524712765,100,2.18,-73.79,68.64,1.95
270,bambanglipuro,36,ID,1524712765,96,-7.95,110.28,82.23,4.29
271,shetpe,0,KZ,1524712765,49,44.14,52.16,46.41,2.95
272,nanakuli,1,US,1524711420,65,21.39,-158.15,80.6,16.11
273,puebloviejo,75,CO,1524711600,66,10.99,-74.28,86.0,4.7
274,coahuayana,0,MX,1524712766,39,18.62,-100.35,77.55,3.74
275,lixourion,20,GR,1524711000,100,38.2,20.43,53.6,1.83
